training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.67879033,0.8355572,0.0,-22.652328,-24.264181,4.883088,-4.1320157,60.863834,-7.617591,-21.891636,-23.502449,0.0046363366,0.019767724609375,98.83862519264221,5000
0.5575273,1.3811758,-6.3291073,-37.57022,-40.676067,22.763565,-38.454773,269.04633,-5.383218,-36.915024,-40.081448,0.028147276,0.0017261814117431641,107.46953582763672,10000
0.56584716,1.1394643,-7.43175,-49.128654,-53.92572,16.547295,-23.888975,181.50627,-9.512528,-48.636265,-53.450554,0.02290845,0.001716488265991211,116.05198049545288,15000
0.5616674,1.3455465,-1.4686588,-57.05754,-64.704865,13.7514515,-17.109598,165.24461,-0.42578533,-56.56732,-64.35367,0.0620473,0.0017065024375915528,124.58449625968933,20000
0.56955236,5.7189765,-9.497912,-62.552013,-73.311676,64.173355,-36.681496,504.1597,-8.664965,-62.24076,-73.05159,0.44266924,0.0017608309745788574,133.3886547088623,25000
0.5219861,2.2125936,-0.41785276,-65.79594,-80.79972,15.443275,-12.305907,177.27812,0.5842803,-65.49315,-80.55845,0.14072827,0.0017430079460144044,142.103698015213,30000
0.5785731,1.3993059,-2.4289103,-70.28296,-87.207954,5.0174303,-5.9777594,81.79319,-1.4441326,-69.886826,-87.107346,0.057315975,0.0017591816902160645,150.89961051940918,35000
0.5128355,3.2745075,-1.8273702,-72.14775,-92.60233,22.41851,-14.605907,227.18628,-0.7860922,-71.93973,-92.541985,0.08683594,0.0017113554000854493,159.4563958644867,40000
0.5165198,1.2975017,-11.41954,-74.96646,-97.72691,6.2645397,-5.1815214,91.24722,-10.524251,-74.67052,-97.696754,0.05182838,0.0016950039386749267,167.93141961097717,45000
0.49170533,1.8313622,-10.561248,-76.319534,-102.88586,8.047715,-10.312449,119.11608,-8.676717,-76.066986,-102.89879,0.09976731,0.0016976639747619628,176.41974353790283,50000
0.4534505,0.98920304,-12.017532,-77.26388,-107.656166,6.641122,-7.909485,79.4241,-8.867356,-76.996216,-107.72754,0.050889485,0.0016496631145477296,184.668062210083,55000
0.48686397,1.2968836,-3.7137802,-76.38664,-111.484604,5.4666195,-5.632015,89.73737,-7.2137218,-76.24676,-111.611565,0.10021037,0.0016504140377044678,192.92013549804688,60000
0.5613272,2.559633,-17.62446,-77.57957,-114.590614,17.96791,-32.329006,246.8196,-16.740913,-77.30658,-114.76081,0.12496194,0.0016960476875305176,201.4003779888153,65000
