training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.6718518,0.7808491,0.0,-21.03423,-23.775328,5.6549544,-7.007839,82.36862,0.0214492,-20.29969,-23.003757,0.028757129,0.019694754123687742,98.47377371788025,5000
0.5988842,1.4597857,0.0,-36.26067,-42.10469,17.765999,-20.644556,180.47295,-0.13045731,-35.59623,-41.516277,0.06664695,0.0017263593673706055,107.10557389259338,10000
0.5687226,2.0924802,0.0,-47.46826,-58.81094,22.726461,-25.340643,268.8531,0.029438443,-46.990524,-58.409843,0.09809296,0.001670025110244751,115.45570254325867,15000
0.5766492,2.9669604,0.0,-54.820686,-72.75485,47.959557,-49.820957,406.33533,0.2859904,-54.395668,-72.491516,0.13698334,0.0016774514198303224,123.84296321868896,20000
0.52260566,1.8691566,0.0,-61.537033,-83.22091,16.445656,-14.15351,178.23312,0.08405018,-61.16871,-83.05714,0.0766065,0.0017331398963928222,132.50866675376892,25000
0.4783765,2.2513514,-1.30547,-68.22226,-91.35836,21.442904,-26.134127,232.3131,-0.27986246,-67.89278,-91.2709,0.08162418,0.0017011813640594483,141.01457691192627,30000
0.5659948,4.3770065,0.0,-69.41559,-97.34582,49.22011,-78.608986,506.59955,1.3114717,-68.99513,-97.309555,0.12660325,0.0017147246360778808,149.58820366859436,35000
0.54001474,3.4936037,0.0,-74.614975,-101.689354,19.697578,-15.734732,238.3793,-0.21552557,-74.48371,-101.70645,0.13090914,0.0016923532962799072,158.04997324943542,40000
0.5439436,5.685883,0.0,-74.39779,-103.78527,46.03004,-67.57887,475.47778,0.55781543,-74.14861,-103.82545,0.16266137,0.0017445641040802003,166.77279829978943,45000
0.5271881,1.9517848,0.0,-74.887726,-105.77447,6.339565,-4.5927954,100.84387,0.46629253,-74.66359,-105.78642,0.09428589,0.0017988388538360597,175.76699590682983,50000
0.49614474,5.963382,0.0,-74.49968,-106.75178,139.57933,-120.11315,1049.869,-2.8011842,-74.26236,-106.76443,0.10135528,0.0016938828945159913,184.23641395568848,55000
0.4859278,2.0421612,0.0,-75.40202,-108.20262,23.925022,-17.136486,164.2471,0.28207415,-75.16958,-108.27319,0.136054,0.0017018789768218994,192.74581265449524,60000
0.47574693,1.6118238,0.0,-73.99703,-108.19984,4.8318787,-4.6093316,82.13143,0.14321655,-73.736725,-108.29408,0.06116371,0.00169278564453125,201.2097442150116,65000
0.5473561,2.1851215,0.0,-76.458145,-108.432755,15.978263,-15.566684,144.65598,-0.12457867,-76.320465,-108.53657,0.080904216,0.001699492311477661,209.7072093486786,70000
0.5126994,8.045839,0.0,-72.04369,-109.1782,79.15793,-74.13359,527.0069,-0.7438347,-71.802,-109.2995,0.49091578,0.0017088454723358155,218.25144052505493,75000
0.47867137,2.7872293,0.0,-74.29414,-107.337296,14.082016,-17.720695,196.37083,0.6495721,-73.93486,-107.48274,0.13072237,0.001728401279449463,226.89345002174377,80000
